,p_value,batch_size,number_of_epochs,act,act_fin,train_score,val_score
1,0.3,400,0,ReLU(),Sigmoid(),0.1420637240572932,0.14922813036020582
2,0.3,400,50,ReLU(),Sigmoid(),0.3967235081465117,0.37726602941579246
3,0.3,400,100,ReLU(),Sigmoid(),0.39649480431184664,0.38016311496974486
4,0.3,400,150,ReLU(),Sigmoid(),0.39634612870819214,0.3765432909817937
5,0.3,400,200,ReLU(),Sigmoid(),0.39892293690713543,0.38374777505595403
6,0.3,400,250,ReLU(),Sigmoid(),0.3961844469942266,0.37726602941579246
7,0.3,400,300,ReLU(),Sigmoid(),0.40042861339016955,0.3822788716405738
8,0.3,400,350,ReLU(),Sigmoid(),0.39655745914408713,0.38159169245823416
9,0.3,400,400,ReLU(),Sigmoid(),0.3974693294963304,0.3808720112517581
10,0.3,400,450,ReLU(),Sigmoid(),0.39783776291078976,0.38231087759134336
11,0.3,400,500,ReLU(),Sigmoid(),0.3971807953950811,0.37798824870648073
12,0.3,400,550,ReLU(),Sigmoid(),0.3990635947847614,0.38159169245823416
13,0.3,400,600,ReLU(),Sigmoid(),0.39792502819967995,0.38302957050500913
14,0.3,400,650,ReLU(),Sigmoid(),0.3980107366017571,0.38159169245823416
15,0.3,400,700,ReLU(),Sigmoid(),0.3980107366017571,0.3808720112517581
16,0.3,400,750,ReLU(),Sigmoid(),0.39869494504341435,0.38231087759134336
17,0.3,400,800,ReLU(),Sigmoid(),0.4020584050991408,0.3814002275045717
18,0.3,400,850,ReLU(),Sigmoid(),0.3992911926921751,0.38374777505595403
19,0.3,400,900,ReLU(),Sigmoid(),0.39900836058318534,0.38159169245823416
20,0.3,400,950,ReLU(),Sigmoid(),0.4016054049795583,0.3821081984510145
21,0.3,400,1000,ReLU(),Sigmoid(),0.3992911926921751,0.3837101905380905
22,0.3,400,1050,ReLU(),Sigmoid(),0.39915089021098615,0.37941035804009743
23,0.3,400,1100,ReLU(),Sigmoid(),0.3992911926921751,0.3837101905380905
24,0.3,400,1150,ReLU(),Sigmoid(),0.4005649103747963,0.3829475761322192
25,0.3,400,1200,ReLU(),Sigmoid(),0.40020120459745934,0.3822344710621157
26,0.3,400,1250,ReLU(),Sigmoid(),0.4014727599907672,0.38146682291551504
27,0.3,400,1300,ReLU(),Sigmoid(),0.3997462742908456,0.3822344710621157
28,0.3,400,1350,ReLU(),Sigmoid(),0.4015650997404672,0.3822344710621157
29,0.3,400,1400,ReLU(),Sigmoid(),0.40183192306514476,0.38288790889609126
30,0.3,400,1450,ReLU(),Sigmoid(),0.4016054049795583,0.3836602029760984
31,0.3,400,1500,ReLU(),Sigmoid(),0.4025112616138386,0.3821081984510145
32,0.3,400,1550,ReLU(),Sigmoid(),0.401378850692143,0.3836602029760984
33,0.3,400,1600,ReLU(),Sigmoid(),0.4021881004524529,0.38430710165937393
34,0.3,400,1650,ReLU(),Sigmoid(),0.40115226005276466,0.3836602029760984
35,0.3,400,1700,ReLU(),Sigmoid(),0.4020584050991408,0.38359774001787694
36,0.3,400,1750,ReLU(),Sigmoid(),0.4010570939499442,0.38288790889609126
